,,County Down,Northern Ireland
Annaclone,BT32,County Down,Northern Ireland
Annacloy,,County Down,Northern Ireland
Annadorn,,County Down,Northern Ireland
Annahilt,BT26,County Down,Northern Ireland
Annalong,BT34,County Down,Northern Ireland
Annsborough,,County Down,Northern Ireland
Ardglass,BT30,County Down,Northern Ireland
Ardkeen,BT22,County Down,Northern Ireland
Attical,,County Down,Northern Ireland
Baileysmill,,County Down,Northern Ireland
Balliggan,,County Down,Northern Ireland
Ballinran,,County Down,Northern Ireland
Balloo,,County Down,Northern Ireland
Ballygowan,BT23,County Down,Northern Ireland
Ballyhalbert,BT22,County Down,Northern Ireland
Ballyhornan,BT30,County Down,Northern Ireland
Ballykeel,,County Down,Northern Ireland
Ballymartin,BT34,County Down,Northern Ireland
Ballynaguilkee,,County Down,Northern Ireland
Ballynahinch,BT24,County Down,Northern Ireland
Ballyroney,BT32,County Down,Northern Ireland
Ballywalter,BT22,County Down,Northern Ireland
Ballyward,BT31,County Down,Northern Ireland
Banbridge,BT25,County Down,Northern Ireland
Bangor,BT19,County Down,Northern Ireland
Barnmeen,,County Down,Northern Ireland
Bishops Court,,County Down,Northern Ireland
Bleary,,County Down,Northern Ireland
Boardmills,,County Down,Northern Ireland
Bryansford,BT33,County Down,Northern Ireland
Burren,,County Down,Northern Ireland
Carrowdore,BT22,County Down,Northern Ireland
Carryduff,,County Down,Northern Ireland
Castlewellan,BT31,County Down,Northern Ireland
Chapeltown,,County Down,Northern Ireland
Church Ballee,,County Down,Northern Ireland
Churchtown,,County Down,Northern Ireland
Cloghroe,,County Down,Northern Ireland
Clough,BT30,County Down,Northern Ireland
Cloughey,BT22,County Down,Northern Ireland
Coagh,,County Down,Northern Ireland
Comber,BT23,County Down,Northern Ireland
Conlig,BT23,County Down,Northern Ireland
Corbet Milltown,,County Down,Northern Ireland
Craigavad,BT18,County Down,Northern Ireland
Crawfordsburn,BT19,County Down,Northern Ireland
Crossgar,BT30,County Down,Northern Ireland
Culcavy,BT26,County Down,Northern Ireland
Cultra,,County Down,Northern Ireland
Derryboy,,County Down,Northern Ireland
Donaghadee,BT21,County Down,Northern Ireland
Donaghcloney,,County Down,Northern Ireland
Downings,,County Down,Northern Ireland
Downpatrick,BT30,County Down,Northern Ireland
Dromahair,,County Down,Northern Ireland
Dromore,BT25,County Down,Northern Ireland
Drumaness,BT24,County Down,Northern Ireland
Drumbo,,County Down,Northern Ireland
Dundonald,,County Down,Northern Ireland
Dundrum,BT33,County Down,Northern Ireland
Finnis,BT25,County Down,Northern Ireland
Gilford,,County Down,Northern Ireland
Glastry,,County Down,Northern Ireland
Greencastle,,County Down,Northern Ireland
Greyabbey,BT22,County Down,Northern Ireland
Groomsport,BT19,County Down,Northern Ireland
Hillsborough,BT26,County Down,Northern Ireland
Hilltown,BT34,County Down,Northern Ireland
Holywood,BT18,County Down,Northern Ireland
Katesbridge,BT32,County Down,Northern Ireland
Kilcoo,BT34,County Down,Northern Ireland
Kilkeel,BT34,County Down,Northern Ireland
Killinchy,BT23,County Down,Northern Ireland
Killough,BT30,County Down,Northern Ireland
Killyleagh,BT30,County Down,Northern Ireland
Kilmore,,County Down,Northern Ireland
Kilntown,,County Down,Northern Ireland
Kircubbin,BT22,County Down,Northern Ireland
Kirkistown,,County Down,Northern Ireland
Loughbrickland,BT32,County Down,Northern Ireland
Loughinisland,BT30,County Down,Northern Ireland
Lowtown,,County Down,Northern Ireland
Maghera,,County Down,Northern Ireland
Magheralin,,County Down,Northern Ireland
Mayobridge,BT34,County Down,Northern Ireland
McGaffins Corner,,County Down,Northern Ireland
Millisle,BT22,County Down,Northern Ireland
Millstreet,,County Down,Northern Ireland
Milltown,,County Down,Northern Ireland
Minterburn,,County Down,Northern Ireland
Moira,,County Down,Northern Ireland
Monaghan,,County Down,Northern Ireland
Mount Stewart,,County Down,Northern Ireland
Mullartown,,County Down,Northern Ireland
Newcastle,BT33,County Down,Northern Ireland
Newry,BT34,County Down,Northern Ireland
Newtownards,BT22,County Down,Northern Ireland
Portaferry,BT22,County Down,Northern Ireland
Portavogie,BT22,County Down,Northern Ireland
Raffrey,,County Down,Northern Ireland
Rathfriland,BT34,County Down,Northern Ireland
Ravernet,,County Down,Northern Ireland
Rostrevor,BT34,County Down,Northern Ireland
Rosturk,,County Down,Northern Ireland
Rush,,County Down,Northern Ireland
Saintfield,BT24,County Down,Northern Ireland
Saul,,County Down,Northern Ireland
Scarva,,County Down,Northern Ireland
Seaforde,BT30,County Down,Northern Ireland
Seapatrick,BT32,County Down,Northern Ireland
Shrigley,,County Down,Northern Ireland
Six Road Ends,,County Down,Northern Ireland
Stormont,,County Down,Northern Ireland
Strangford,BT30,County Down,Northern Ireland
The Cross,,County Down,Northern Ireland
The Sweep,,County Down,Northern Ireland
The Ward,,County Down,Northern Ireland
Tyrella,,County Down,Northern Ireland
Waringsford,BT25,County Down,Northern Ireland
Waringstown,,County Down,Northern Ireland
Warrenpoint,BT34,County Down,Northern Ireland
