,,Rutland,England
Aldgate,,Rutland,England
Ashwell,LE15,Rutland,England
Ayston,LE15,Rutland,England
Barleythorpe,LE15,Rutland,England
Barnsdale,,Rutland,England
Barrow,LE15,Rutland,England
Barrowden,LE15,Rutland,England
Belmesthorpe,PE9,Rutland,England
Belton-in-Rutland,,Rutland,England
Bisbrooke,LE15,Rutland,England
Braunston-in-Rutland,,Rutland,England
Brooke,LE15,Rutland,England
Burley,LE15,Rutland,England
Carlby,PE9,Rutland,England
Clipsham,LE15,Rutland,England
Cottesmore,LE15,Rutland,England
Edith Weston,LE15,Rutland,England
Egleton,LE15,Rutland,England
Empingham,LE15,Rutland,England
Essendine,PE9,Rutland,England
Exton,LE15,Rutland,England
Geeston,,Rutland,England
Glaston,LE15,Rutland,England
Great Casterton,PE9,Rutland,England
Greetham,LE15,Rutland,England
Gunthorpe,,Rutland,England
Ingthorpe,,Rutland,England
Ketton,PE9,Rutland,England
Langham,LE15,Rutland,England
Little Casterton,PE9,Rutland,England
Lyddington,LE15,Rutland,England
Lyndon,LE15,Rutland,England
Manton,LE15,Rutland,England
Market Overton,LE15,Rutland,England
Morcott,LE15,Rutland,England
Normanton,LE15,Rutland,England
North Luffenham,LE15,Rutland,England
Oakham,LE15,Rutland,England
Pickworth,PE9,Rutland,England
Pilton,LE15,Rutland,England
Preston,LE15,Rutland,England
Ridlington,LE15,Rutland,England
Ryhall,PE9,Rutland,England
Seaton,LE15,Rutland,England
South Luffenham,LE15,Rutland,England
Stretton,LE15,Rutland,England
Teigh,LE15,Rutland,England
Thistleton,LE15,Rutland,England
Thorpe by Water,LE15,Rutland,England
Tickencote,PE9,Rutland,England
Tinwell,PE9,Rutland,England
Tixover,PE9,Rutland,England
Toll Bar,,Rutland,England
Upper Hambleton,LE15,Rutland,England
Uppingham,LE15,Rutland,England
Wardley,LE15,Rutland,England
Whissendine,LE15,Rutland,England
Whitwell,LE15,Rutland,England
Wing,LE15,Rutland,England
